stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,0
12hpf,1.93,0,0,0,0,0,0,0,1.93,1.93
14hpf,3.34,0,0,0,6.69,0,0,0,0,3.34
16hpf,10.25,0,0,0,2.05,4.1,0,0,2.05,4.1
19hpf,21.89,0,0,0,0,0,0,0,0,0
24hpf,24,0,0,1,9,2,1,0,3,3
2dpf,166.82,0,7.51,28.36,77.57,132.62,16.68,1.67,44.21,74.23
3dpf,603.38,6.32,5.17,6.9,8.05,190.21,8.05,0,14.94,27.58
5dpf,92,11.89,27.39,45.48,14.47,246.53,13.44,11.37,38.76,127.66
10dpf,274.23,6.28,20.08,17.57,9.41,136.17,9.41,0,17.57,16.32
