stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,2,0,6,0,0,0,0,0,0,0,6,1,0,2,4,4,46,0,0,0,0
 24-34,0,0,0,13.95,0,0,0,0,0,0,0.82,11.49,1.64,0,0,0,3.28,95.22,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,11.28,0,0,0,0,0,87.01,0,0.81,0,0
 48-58,0,0,1.15,4.02,0,0,0,0,1.15,0.57,0,6.31,0,0.57,0,0,0,72.3,0,0,0,0
 60-70,0,0,4.91,2.94,0,0,0.98,0.98,0,0,0,11.78,0,0,0,0,0,100.12,0,0,0,0.98
 72-82,0.98,0.98,5.89,21.6,1.96,0.98,0,0,0,0,0,20.61,0.98,0,0,0,0,70.68,0.98,0,0.98,0
 84-94,0,1.06,7.43,13.81,1.06,0,0,0,2.12,0,0,16.99,0,0,0,0,0,27.61,0,0,0,0
 96-106,0,0,3.28,4.37,0,0,0,0,0,0,0,5.46,0,0,0,0,0,8.74,0,0,0,0
108-118,0,0.77,0,6.89,0,0,0,0,0,0,0,7.66,0,0,0,0,0,9.19,0,0,0,0
120,0,0,0,9.8,0,0,0,0,0,0,0,7.84,0,0,0,0,0,9.8,0,0,0,0
